GHGRP ID No. / No d'identification du PDGES,reference_year,facility_name,facility_location,municipality,province,postal_code,Latitude,Longitude,NAICS_code_description,company_legal_name,company_trade_name,total_emissions_tonnes_CO2e
G11288,2017,Countess Makepeace Sweet Gas Plant 12-33-022-18W4,,n/a,Alberta,,50.91585,-112.44874,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,21464.172
G11289,2017,Countess (South) Comp Stn 10-20-018-15W4,,n/a,Alberta,,50.53745,-112.02938,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,11058.841
G11290,2017,Bassano Lathom Comp Stn 10-23-020-18W4,,n/a,Alberta,,50.712,-112.39093,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,11975.839
G11291,2017,Primrose Comp Stn 12-01,,n/a,Alberta,,55.29548,-110.79833,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,17380.43699
G11292,2017,Princess East Comp Stn 13-36-019-11W4,,n/a,Alberta,,50.65755,-111.40933,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,11414.308
G11293,2017,Rosemary Sweet Gas Plant 08-21-021-15W4,,n/a,Alberta,,50.79575,-112.01578,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,19902.228
G11294,2017,Suffield A2 Sour Gas Plant,,n/a,Alberta,,50.70146,-111.02326,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,12579.50229
G11295,2017,Suffield B2 Comp Stn 14-15,,n/a,Alberta,,50.7014,-110.48095,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,11938.50214
G11296,2017,Suffield CD Comp Stn 01-04,,n/a,Alberta,,50.22443,-110.9009,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,16888.76896
G11297,2017,Suffield D Comp Stn 01-04,,n/a,Alberta,,50.22444,-110.76327,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,22792.44565
G11298,2017,Suffield E Comp Stn 04-03,,n/a,Alberta,,50.48642,-111.17026,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,10470.81828
G11299,2017,Tide Lake Comp Stn 01-04-018-11W4,,n/a,Alberta,,50.4853,-111.4497,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,10900.51
G11300,2017,Verger A Sweet Gas Plant 04-28-022-16W4,,n/a,Alberta,,50.89415,-112.17168,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,11207.454
G11301,2017,Wayne Dalum Sweet Gas Plant 05-17-027-19W4,,n/a,Alberta,,51.30516,-112.65065,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,16123.037
G11302,2017,BLENHEIM LANDFILL,20277 Base Road,Blenheim,Ontario,N0P 1A0,42.310097,-82.0596761,Waste Treatment and Disposal,Waste Management of Canada Corporation,Waste Management of Canada Corporation,15719.875
G11303,2017,Peyto Wildhay 04-21-055-23W5,,n/a,Alberta,,53.7611,-117.3675,Oil and gas extraction (except oil sands),Peyto Exploration and Development Corporation,Peyto Exploration and Development Corporation,40417.26054
G11304,2017,Peyto Kakwa 02-11-060-04W6,,n/a,Alberta,,54.1669,-118.4869,Oil and gas extraction (except oil sands),Peyto Exploration and Development Corporation,Peyto Exploration and Development Corporation,14310.57918
G11305,2017,LRE - Puskwaskau 03-26,,n/a,Alberta,,55.4328,-118.0417,Oil and gas extraction (except oil sands),Long Run Exploration Ltd,,10143.50065
G11306,2017,Leismer 03-07,,n/a,Alberta,,55.6518,-111.0844,Oil and gas extraction (except oil sands),Devon Canada Corporation,Devon Canada Corporation,11703.6943
G11307,2017,Ferrier 01-20,,n/a,Alberta,,52.3648,-114.9643,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,19758.748
G11308,2017,Hamburg 11-14,,n/a,Alberta,,57.4189,-119.6697,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,13275.443
G11309,2017,GoodFish South Sour Gas Plant 03-32,,n/a,Alberta,,56.9309,-115.2522,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,24267.009
G11310,2017,Manatokan Custom Treating Facility 9-14,,LA COREY,Alberta,,54.4551,-111.0922,Oil and gas extraction (except oil sands),Devon Canada Corporation,Devon Canada Corporation,22567.9791
G11311,2017,Canadian Natural Resources Limited - WEST CULP 5-34-78-25w5,,n/a,Alberta,,55.7994,-117.8,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,12102.779
G11312,2017,WIMBORNE Gas Battery 2-16-34-26W4,,n/a,Alberta,,51.9129,-113.6279,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,13564.098
G11313,2017,Markerville Compressor Station #1,,Red Deer,Alberta,,52.0644,-114.2714,Oil and gas extraction (except oil sands),HARVEST OPERATIONS CORP.,HARVEST OPERATIONS CORP.,13629.1807
G11314,2017,Pcp Westerose 11-20,,NA,Alberta,,52.80857,-114.2576,Oil and gas extraction (except oil sands),Bonavista Energy Corporation,Bonavista Energy Corporation,12322.1506
G11315,2017,FCA Canada Inc. - Windsor Assembly Plant,2199 Chrysler Center Road,Windsor,Ontario,N9A 4H6,42.3,-82.9881,Automobile and Light-Duty Motor Vehicle Manufacturing,FCA Canada Inc.,FCA,68277.93
G11316,2017,Sandhills Sweet Gas Plant 07-25,,n/a,Alberta,,54.3873,-114.7531,Oil and gas extraction (except oil sands),Trident Exploration Corp,Trident Exploration Corp,17639.085
G11317,2017,Scollard Gas Battery 16-30,,n/a,Alberta,,51.9501,-112.8054,Oil and gas extraction (except oil sands),Trident Exploration Corp,Trident Exploration Corp,10270.486
G11318,2017,Thunder Sweet Gas Plant 09-06,,n/a,Alberta,,54.2485,-114.73,Oil and gas extraction (except oil sands),Trident Exploration Corp,Trident Exploration Corp,17272.913
G11319,2017,Port Hope Conversion Facility,1 Eldorado Place,Port Hope,Ontario,L1A 3A1,43.94314,-78.29489,Non-Ferrous Metal (except Aluminum) Smelting and Refining,Cameco Corporation,Cameco Corporation,22850.8522
G11320,2017,South Wapiti 16-36,,n/a,Alberta,,54.84871,-119.2243,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,12481.589
G11321,2017,LDM Foods,500 Sully Avenue,Yorkton,Saskatchewan,S7N 3X3,51.22562,-102.49975,Fat and Oil Refining and Blending,LDM Foods Yorkton Processing GP,LDM Foods,43380.87
G11322,2017,Victoria Hospital,800 Commissioners Road East,London,Ontario,N6A 5W9,42.96021,-81.22554,General (except Paediatric) Hospitals,London Health Sciences Centre,,41847.349
G11323,2017,West Gundy C-86-J/094-B-9,,Fort St. John,British Columbia,,56.74009,-122.19779,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,10915.6096
G11324,2017,Alberta Hub Gas Storage Facility,,Peers,Alberta,T0E 1W0,53,-115,Oil and gas extraction (except oil sands),Iberdrola Canada Energy Services Ltd.,,10412.002
G11325,2017,UNITY ETHANOL PLANT,HIGHWAY 14 Highway East,UNITY,Saskatchewan,S0K 4L0,52.43333,-109.16667,Other Basic Organic Chemical Manufacturing,Northwest Bioenergy Ltd,Northwest Bioenergy Ltd,21615.915
G11326,2017,Hinton 06-32-51-25 W5,,Hinton,Alberta,,53.44318,-117.6554,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,21145.2476
G11327,2017,Horse 16-17-058-26-W5,,Hinton,Alberta,,54.0193,-117.8199,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,56518.575
G11328,2017,Warner Oil Battery 04-20-007-16W4,,Wrentham,Alberta,,49.56924,-112.14682,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,13546.071
G11329,2017,Wildmere #1 Gas Plant 10-19-047-04W4,,PARADISE VALLEY,Alberta,,53.06863,-110.575,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,10520.2735
G11330,2017,Moose Moutain Oil Battery 02-23-023-07W5,,Bragg Creek,Alberta,,50.96684,-114.87087,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,11431.8366
G11331,2017,Yorkton,Highway #16 3 Miles West,Yorkton,Saskatchewan,S3N 2W1,51.23564,-102.5309,All Other Food Manufacturing,Richardson Oilseed Ltd.,,41563.6065
G11332,2017,Gold Creek 12-26-067-06 W6M,,GOLD CREEK,Alberta,,54.82917,-118.80692,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,10246.6135
G11333,2017,Blackstone Dehy 09-23-044-16W5 / 15-14-046-17W5,,Yellowhead County,Alberta,,52.97252,-116.3559,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,65185.5377
G11334,2017,FBV Central 5-14,,FENN,Alberta,T0J1K0,52.09024,-112.76382,Oil and gas extraction (except oil sands),Pengrowth Energy Corporation,Pengrowth,15286.4942
G11335,2017,Olymel S.E.C. Red Deer,7550 40eme avenue,RED DEER,Alberta,T4P2H8,52.30342,-113.79136,Animal (except Poultry) Slaughtering,Olymel S.E.C. Red Deer,,12168.658
G11336,2017,Bracemac-McLeod,109 Route,Matagami,Quebec,J0Y 2A0,49.41487,-77.41739,Copper-Zinc Ore Mining,Glencore Canada Corporation,,18685.2259
G11337,2017,Camrose Regional Landfill,5204 50 Avenue,Camrose,Alberta,T4V 0S8,53.0222,-112.82859,Waste Treatment and Disposal,City of Camrose,,22580.58263
G11338,2017,Winter Main 12-32,,-,Saskatchewan,,52.66218,-109.57354,Oil and gas extraction (except oil sands),Cona Resources Ltd.,,11964.5473
G11339,2017,Niagara Road 12 Landfill Site,7015 Concession Road 7 Road,West Lincoln,Ontario,L0R 1M0,43.139,-79.578,Waste Treatment and Disposal,Regional Municipality of Niagara,,20518.53807
G11340,2017,Bridge Street Landfiil Site,1300 Bridge Street,Fort Erie,Ontario,L2A 5M4,42.9284,-78.9611,Waste Treatment and Disposal,Regional Municipality of Niagara,,33209.8
G11341,2017,Elm Street Landfill Site,1700 Elm Street,Port Colborne,Ontario,L3K 5V4,42.925,-79.258,Waste Treatment and Disposal,Regional Municipality of Niagara,,14775
G11342,2017,Bonavista Pine Creek 12-19-57-18,N/A,NA,Alberta,,53.94276,-116.67408,Oil and gas extraction (except oil sands),Bonavista Energy Corporation,Bonavista Energy Corporation,13314.4955
G11343,2017,Pcp Westerose 14-27,N/A,na,Alberta,,52.91414,-114.06415,Oil and gas extraction (except oil sands),Bonavista Energy Corporation,Bonavista Energy Corporation,20900.7514
G11344,2017,Pancdn Wilson Creek #2,N/A,na,Alberta,,52.71041,-114.44509,Oil and gas extraction (except oil sands),Bonavista Energy Corporation,Bonavista Energy Corporation,27563.5557
G11345,2017,Brazeau Office 01-01,,Clearwater County,Alberta,,52.84497,-115.598,Oil and gas extraction (except oil sands),Westbrick Energy Ltd.,,19901.1467
G11346,2017,Innes Oil Battery 08-25,,N/A,Saskatchewan,,49.58633,-103.36429,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,12083.629
G11347,2017,Peco Gas Battery 14-07,,N/A,Alberta,,53.13229,-116.1863,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,15509.098
G11348,2017,GROUNDBIRCH GP 06-19-080-20W6,,Groundbirch,British Columbia,,55.94624,-121.12157,Oil and gas extraction (except oil sands),Pengrowth Energy Corporation,Pengrowth,10488.8777
G11349,2017,BP CHAUVIN SOUTH 12-19,,N/A,Alberta,,52.63236,-110.28987,Oil and gas extraction (except oil sands),Repsol Oil & Gas Canada Inc.,Repsol S.A.,22675.002
G11350,2017,Sukunka Comp Stn B-065-B,,n/a,British Columbia,,48.00208,-121.68438,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,10789.238
G11351,2017,Sukunka Comp Stn A-064-J,,n/a,British Columbia,,55.46875,-121.66563,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,24047.15
G11352,2017,Viewfield Oil Battery 03-20,,N/A,Saskatchewan,,49.56716,-103.05921,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,11237.692
G11353,2017,Viewfield Oil Battery 05-05,,N/A,Saskatchewan,,49.61552,-103.20025,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,11293.579
G11354,2017,Whitecap Kerrobert 03-27-032-23 W3M,,Kerrobert,Saskatchewan,,51.76694,-109.18489,Oil and gas extraction (except oil sands),Whitecap Resources Inc.,,62243.9386
G11355,2017,Esther Sweet Gas Plant 13-19,,n/a,Alberta,,51.76,-114.38,Oil and gas extraction (except oil sands),Obsidian Energy Ltd.,,12715.62
G11356,2017,PROGRESS NE GUNDY A-058-H/094-B-16,,Fort St. John,British Columbia,,56.8758,-122.094,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,21849.43391
G11357,2017,Progress Town North B-070-C/094-G-01,,Fort St. John,British Columbia,,57.052,-122.374,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,21561.33208
G11358,2017,Progress Town South D-059-J/094-B-16,,Fort St. John,British Columbia,,56.96584,-122.23055,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,30546.04151
G11359,2017,Flat Rock Comp Stn 15-20,,n/a,British Columbia,,56.39005,-120.65127,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,11664.48
G11360,2017,Younger NGL Extraction Plant,,Taylor,British Columbia,V0C 2K0,56.1467,-120.67224,Oil and gas extraction (except oil sands),AltaGas Ltd.,,24900.541
G11361,2017,Welded Tube (Q&T Plant),191 Ridge Road,Welland,Ontario,L3B 5N7,42.97077,-79.21057,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,Welded Tube of Canada Corp,,13309.8771
G11362,2017,BPCO Edmonton,3703 101 Avenue,Edmonton,Alberta,T6P 1X7,53.93572,-113.38194,Asphalt Shingle and Coating Material Manufacturing,La Cie Matériaux de Construction BP Canada,,24737.521
G11363,2017,Chaparral Landfill,201 194th Avenue South East & McLeod Trail,Calgary,Alberta,T2W 2C4,50.52303,-114.12662,Waste Treatment and Disposal,Waste Connections of Canada Inc.,Waste Connections of Canada Inc.,33683.88856
G11364,2017,Ansell Compressor Station 03-06-049-18W5,,YELLOWHEAD COUNTY,Alberta,,53.19414,-116.62522,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,34431.4357
G11365,2017,Chungo Compressor Station 05-26-043-18W5,,Clearwater County,Alberta,,52.73244,-116.51295,Oil and gas extraction (except oil sands),Ikkuma Resources Corp.,,23245.0905
G11366,2017,Valhalla Oil Battery 06-18,,La Glace,Alberta,,55.40862,-119.22142,Oil and gas extraction (except oil sands),Surge Energy Inc.,Surge Energy Inc.,13145.59365
G11367,2017,Kelt Copton 11-25,,n/a,Alberta,,54.13217,-119.2155,Oil and gas extraction (except oil sands),Kelt Exploration,,13564.9818
G11368,2017,ASW Steel Inc.,42 Centre Street,Welland,Ontario,L3B 5N9,42.99864,-79.23453,Iron and Steel Mills and Ferro-Alloy Manufacturing,ASW Steel Inc.,,19222.9555
G11369,2017,Superb,,COLEVILLE,Saskatchewan,,51.83246,-109.29718,Oil and gas extraction (except oil sands),Superb Operating Company Ltd.,,12373.4713
G11370,2017,Edson Gas Storage Facility,4731 Second Avenue,EDSON,Alberta,T7E1C1,53.67668,-116.7876,Other Warehousing and Storage,TransCanada Gas Storage Partnership,TransCanada Gas Storage Partnership,10014.5405
G11371,2017,Cynthia Battery,,TOWNSHIP 051,Alberta,,53.40113,-115.57085,Oil and gas extraction (except oil sands),Vermilion Energy Inc.,,12378.677
G11372,2017,Kakwa Sour Gas Processing Plant 16-07-063-05W6,,NA,Alberta,,54.44155,-118.7335,Oil and gas extraction (except oil sands),ORLEN Upstream Canada Ltd.,ORLEN Upstream Canada Ltd.,30021.691
G11373,2017,Resthaven Gas Battery 02-16,,n/a,Alberta,,54.18478,-118.08099,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,13370.631
G11374,2017,Cresecent Point Shaunavon Oil Battery 04-16,,N/A,Saskatchewan,,49.72948,-108.53146,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,14702.421
G11375,2017,Young-Davidson,566 Hwy 566 Road West,Matachewan,Ontario,P0K 1M0,47.94722,-80.67722,Gold and Silver Ore Mining,Alamos Gold Incorporated,Alamos Gold Inc.,26845.396
G11376,2017,Kiwigana Comp Stn C-093-L,206 3991 50 Avenue South,Fort Nelson,British Columbia,V0C 1R0,59.24792,-122.90937,Oil and gas extraction (except oil sands),Encana Corporation,Encana Corporation,34063.9936
G11377,2017,Progress Caribou D-032-C/094-G-07,,Fort St. John,British Columbia,,57.28163,-122.76431,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,17695.97188
G11378,2017,Progress Lily B-038-J/094-G-02,,Fort St. John,British Columbia,,57.19281,-122.72111,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,20207.23211
G11379,2017,Huron 15-34-079-17-W6,,Taylor,British Columbia,,55.8954,-120.5691,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,29692.56974
G11380,2017,Ferrier Compressor Station 04-13-039-09W5,,NA,Alberta,,52.35035,-115.17385,Oil and gas extraction (except oil sands),ORLEN Upstream Canada Ltd.,ORLEN Upstream Canada Ltd.,31418.029
G11381,2017,Kelt Inga 15-03-088-23 W6M,,Prince George,British Columbia,,56.60882,-121.56085,Oil and gas extraction (except oil sands),Kelt Exploration,,13133.0501
G11382,2017,Projet Nunavik Nickel,1111111111 non applicable,Rivière Koksoak,Quebec,J1J 1J1,61.3239,-73.3234,Nickel-Copper Ore Mining,Canadian Royalties inc.,,95432.1514
G11383,2017,Conroy LC (All wells),,CONROY,British Columbia,,57.53958,-121.84063,Oil and gas extraction (except oil sands),Polar Star Canadian Oil and Gas Inc.,,10747.89848
G11384,2017,Progress Gold Creek 06-03-069-06W6,,Grande Prairie,Alberta,,54.9434,-118.82989,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,13347.7313
G11385,2017,Aquatera Grande Prairie WWTP (and Landfill),5306 100 Street,Grande Prairie,Alberta,T8W 2R6,55.07405,-118.47474,Sewage Treatment Facilities,Aquatera Utilities INC,,30705.67543
G11386,2017,Robin Hood Bay Regional Waste Management Facility,340 East White Hills Road,St. John's,Newfoundland and Labrador,A1C 5M2,47.60422,-52.66763,Waste Treatment and Disposal,City of St. John's,,32521.6998
G11387,2017,Anderson 01-09-051-24-W5,,Hinton,Alberta,,53.38259,-117.4668,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,20719.2942
G11388,2017,Eastern Ontario Landfill,17125 Lafleche Road,Moose Creek,Ontario,K0C 1W0,45.3047,-74.99235,Waste Treatment and Disposal,GFL Environmental Inc.,,82561.88128
G11389,2017,Jansen Project,130 3rd Avenue South,Saskatoon,Saskatchewan,S7K 1L3,51.88147,-104.7276,Potash Mining,BHP Billiton Canada Inc.,BHP Billiton Canada Inc.,9795.775
G11390,2017,Fonderie Bibby Ste-Croix,6200 Principale Street,Sainte-Croix,Quebec,G0S 2H0,46.6233,-71.73606,Iron Foundries,Canada Pipe Co ltd,,17103.512
G11391,2017,Ante Creek North Sweet Gas Plant 10-07,,n/a,Alberta,,54.78675,-117.64646,Oil and gas extraction (except oil sands),ARC Resources,ARC,43725.274
G11392,2017,Vero Edson 12-15-053-15-W5,,n/a,Alberta,,53.57954,-116.13688,Oil and gas extraction (except oil sands),Velvet Energy Ltd.,,23208.95
G11393,2017,Kaybob Gas Plant 05-31,12002 97 Avenue,Grande Prairie,Alberta,T8W 0J7,54.40496,-117.59752,Oil and gas extraction (except oil sands),Encana Corporation,Encana Corporation,36005.398
G11394,2017,Leitchville Sour Gas Plant,,N/A,Saskatchewan,,49.72947,-108.53147,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,33229.011
G11395,2017,Melrose Oil Battery 09-14,,N/A,Saskatchewan,,49.7356,-102.98033,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,13067.634
G11396,2017,Rapdan Battery 16-02,,N/A,Saskatchewan,,49.36185,-108.58727,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,12621.808
G11397,2017,Fort Hills Oil Sands,90 kms north of Fort McMurray,Fort McMurray,Alberta,T9H 4V9,57.39207,-111.56791,Mined oil sands extraction,Fort Hills Energy L.P.,,452444.0666
G11398,2017,Ferrero Canada Limited,1 Ferrero Boulevard,Brantford,Ontario,N3V 1G3,43.16226,-80.32571,Chocolate and chocolate confectionery manufacturing from cacao beans,Ferrero Canada Limited,,23409.0501
G11399,2017,Centrale de cogénération,900 Saint-Joseph Road,SAINT-THOMAS,Quebec,J0K3L0,,,Other Electric Power Generation,EBI Énergie Inc.,,30.962
G11400,2017,Hoffer 04-05-02-15 W2M,,HOFFER,Saskatchewan,,49.08933,-103.98464,Oil and gas extraction (except oil sands),NAL Resources Management,,14060.942
G11401,2017,Whitecap Lucky Hills 01-29-030-23 W3M,,LUCKY HILLS,Saskatchewan,,,,Oil and gas extraction (except oil sands),Whitecap Resources Inc.,,31432.7489
G11402,2017,Progress Altares D-097-G/094-B-08,,Fort St. John,British Columbia,,56.41466,-122.20466,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,14946.60915
G11403,2017,Progress Green D-039-C/094-G-10,,Fort St. John,British Columbia,,57.53106,-122.85463,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,11729.73561
G11404,2017,Progress W Gundy B-032-B/094-B-16,,Fort St. John,British Columbia,,56.777,-122.14832,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,19589.11023
G11405,2017,Progress Lily A-29-J Gas Plant,,Fort St. John,British Columbia,,57.18502,-122.72943,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,22437.58207
G11406,2017,South Kaybob 02-20,505 Quarry Park Boulevard Southeast,Calgary,Alberta,T2C 5N1,54.19772,-116.81091,Oil and gas extraction (except oil sands),XTO Energy Canada ULC,,20439.1918
G11407,2017,Resthaven 02-10,505 Quarry Park Boulevard Southeast,Calgary,Alberta,T2C 5N1,54.16866,-118.05972,Oil and gas extraction (except oil sands),XTO Energy Canada ULC,,20764.5725
G11408,2017,Shaunavon Oil Battery 01-15,,N/A,Saskatchewan,,49.46615,-108.47686,Oil and gas extraction (except oil sands),Surge Energy Inc.,Surge Energy Inc.,23867.1073
G11409,2017,Hangingstone Expansion Project,,RM of Wood Buffalo,Alberta,T9H 3G2,56.27721,-111.62239,In-situ oil sands extraction,Japan Canada Oil Sands Limited,Japan Canada Oil Sands Limited,184084.5907
G11410,2017,Panther 10-13 Battery,,WEBB,Alberta,,50.26088,-108.21322,Oil and gas extraction (except oil sands),Canlin Energy Corporation,,30856.3054
G11411,2017,Golden Lake Oil Multi Well Battery 14-13-047-23W3,,Maidstone,Saskatchewan,,53.05783,-109.23875,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,22599.3391
G11412,2017,Ferguson Oil Bty 1-21-3-17W4,,Milk River,Alberta,T0K 1M0,49.2191,-112.22813,Oil and gas extraction (except oil sands),Granite Oil Corporation,,11049.6228
G11413,2017,Ferguson CS 3-25-3-17W4,,Warner,Alberta,T0K 2L0,49.23378,-112.17199,Oil and gas extraction (except oil sands),Granite Oil Corporation,,33245.7924
G11414,2017,Jensen CS 16-31-4-21W4,,Magrath,Alberta,T0K 1J0,49.34658,-112.81073,Oil and gas extraction (except oil sands),Granite Oil Corporation,,9968.1098
G11415,2017,Altares Gas Plant b-24-H,,n/a,British Columbia,,56.35202,-122.04837,Oil and gas extraction (except oil sands),Canbriam Energy Inc.,Canbriam,14177.4065
G11416,2017,Praxair Canada Inc Sarnia CO2 & DI,1832 South Vidal Street,Sarnia,Ontario,N7T 7H5,42.9237,-82.43487,Industrial Gas Manufacturing,Praxair Canada Inc.,,28500.66
G11417,2017,Cuthbert 02-02,,N/A,Saskatchewan,,51.27261,-109.97403,Oil and gas extraction (except oil sands),Cona Resources Ltd.,,20333.5408
G11418,2017,Wild River 11-16-055-24-W5,,Hinton,Alberta,,53.75512,-117.50988,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,33241.1003
G11419,2017,Golden Lake 05-17-050-22W3,,Golden Lake,Saskatchewan,,53.31258,-109.19595,Oil and gas extraction (except oil sands),Baytex Energy Ltd,,12758.20607
G11420,2017,Seal 13-17-084-18W5,,Seal,Alberta,,56.28944,-116.81976,Oil and gas extraction (except oil sands),Baytex Energy Ltd,,46831.79545
G11421,2017,Wapiti Comp stn 15-09,,Wapiti,Alberta,,54.96512,-119.30677,Oil and gas extraction (except oil sands),Sinopec Canada,,11806.652
G11422,2017,HBMS Reed Mine,,Flin Flon,Manitoba,,54.58,-100.63,Copper-Zinc Ore Mining,Hudbay Minerals Inc.,,13622.519
G11423,2017,Veolia ES Canada Services Industriels inc.,7950 Av. Pion,St-Hyacinthe,Quebec,J2S 8B1,45.37,-72.57,Remediation Services,Veolia ES Canada Services Industriels Inc.,,10245.8253
G11424,2017,Whitemud SWB 09-15,,N/A,Saskatchewan,,49.47465,-108.60969,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,17320.974
G11425,2017,Installations portuaires de Port-Cartier,"24 boul. des Îles, bureau 201 Boulevard",Port-Cartier,Quebec,G5B 2H3,50.0334,-66.791,Port and Harbour Operations,ArcelorMittal Infrastructure Canada,,15850.084
G11426,2017,Progress Julienne A-005-I/094-G-02,,Fort St John,British Columbia,,57.16839,-122.55457,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,27571.2231
G11427,2017,Progress Sasquatch B-32-E,,FORT ST JOHN,British Columbia,,57.11027,-122.39857,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,17083.60272
G11428,2017,progress Gundy D-004-H/094-B-16,,Fort St John,British Columbia,,56.83933,-122.04238,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,12263.16213
G11429,2017,Progress Caribou C-016-F/094-G-07,,Fort St John,British Columbia,,57.34733,-122.82355,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,13084.45455
G11430,2017,Progress Jedney A-065-I/094-G-01,,Fort St John,British Columbia,,57.21855,-122.05456,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,13665.86544
G11431,2017,Progress North Beg D-045-D/094-G-08,,Fort St John,British Columbia,,57.28936,-122.42947,Oil and gas extraction (except oil sands),Progress Energy Canada Ltd.,Progress Energy Canada Ltd.,18594.68343
G11432,2017,Sundown B-067-H/093-P-10,,Dawson Creek,British Columbia,,55.63536,-120.58595,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,45907.33323
G11433,2017,Jedney Comp Stn C-007-H,,n/a,British Columbia,,57.08958,-122.08437,Oil and gas extraction (except oil sands),Black Swan Energy,,10915.886
G11434,2017,Brazeau CS 06-27-047-14W5,,Cynthia,Alberta,,53.08146,-115.96713,Oil and gas extraction (except oil sands),Boulder Energy Ltd.,,15308.56
G11435,2017,Galloway Power Plant,,Peace River,Alberta,,56.03795,-116.75133,Fossil-Fuel Electric Power Generation,Genalta GP I Ltd.,,34248.7333
